,0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 274, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 275, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 277, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 278, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 279, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 280, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 281, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 282, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 283, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 284, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 285, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 286, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 287, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 288, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 289, '5.0')",0
"('Chelsea4-2TottenhamHotspurFullMatchEmiratesFACupClassicEmiratesFACup1617_0:14:33_0:14:46_Goalkeeper_output.npy', 290, '5.0')",0
